[15-Oct-2025 18:39:54 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Bootstrap\HandleExceptions.php on line 257
[15-Oct-2025 18:39:54 UTC] PHP  56. App\Services\FinanceRateService->fetchSeriesValues($seriesId = '11', $startYmd = '2025-10-15', $endYmd = '2025-10-16') C:\Users\faria\projeto-final\app\Services\FinanceRateService.php:40
[15-Oct-2025 18:39:54 UTC] PHP  57. file_get_contents($filename = 'https://api.bcb.gov.br/dados/serie/bcdata.sgs.11/dados?formato=json&dataInicial=15%2F10%2F2025&dataFinal=16%2F10%2F2025', $use_include_path = FALSE, $context = resource(661) of type (stream-context)) C:\Users\faria\projeto-final\app\Services\FinanceRateService.php:131
[15-Oct-2025 18:39:54 UTC] PHP  58. Illuminate\Foundation\Bootstrap\HandleExceptions->Illuminate\Foundation\Bootstrap\{closure:C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Bootstrap\HandleExceptions.php:257-259}(...$arguments = variadic(2, 'file_get_contents(https://api.bcb.gov.br/dados/serie/bcdata.sgs.11/dados?formato=json&amp;dataInicial=15%2F10%2F2025&amp;dataFinal=16%2F10%2F2025): Failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\r\n', 'C:\\Users\\faria\\projeto-final\\app\\Services\\FinanceRateService.php', 131)) C:\Users\faria\projeto-final\app\Services\FinanceRateService.php:131
[15-Oct-2025 18:39:57 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\Users\faria\projeto-final\storage\framework\views\0c8d89ce106f93caffbc81c1309df74a.php on line 1
[15-Oct-2025 18:39:57 UTC] PHP Stack trace:
[15-Oct-2025 18:39:57 UTC] PHP   1. Illuminate\Foundation\Bootstrap\HandleExceptions->Illuminate\Foundation\Bootstrap\{closure:C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Bootstrap\HandleExceptions.php:257-259}() C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Bootstrap\HandleExceptions.php:0
[15-Oct-2025 18:39:57 UTC] PHP   2. Illuminate\Foundation\Bootstrap\HandleExceptions->handleShutdown() C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Bootstrap\HandleExceptions.php:258
[15-Oct-2025 18:39:57 UTC] PHP   3. Illuminate\Foundation\Bootstrap\HandleExceptions->handleException($e = class Symfony\Component\ErrorHandler\Error\FatalError { protected $message = 'Maximum execution time of 30 seconds exceeded'; private string ${Error}string = ''; protected $code = 0; protected string $file = 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php'; protected int $line = 257; private array ${Error}trace = [0 => [...], 1 => [...], 2 => [...], 3 => [...]]; private ?Throwable ${Error}previous = NULL; private array $error = ['type' => 1, 'message' => 'Maximum execution time of 30 seconds exceeded', 'file' => 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php', 'line' => 257] }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Bootstrap\HandleExceptions.php:234
[15-Oct-2025 18:39:57 UTC] PHP   4. Illuminate\Foundation\Bootstrap\HandleExceptions->renderHttpResponse($e = class Symfony\Component\ErrorHandler\Error\FatalError { protected $message = 'Maximum execution time of 30 seconds exceeded'; private string ${Error}string = ''; protected $code = 0; protected string $file = 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php'; protected int $line = 257; private array ${Error}trace = [0 => [...], 1 => [...], 2 => [...], 3 => [...]]; private ?Throwable ${Error}previous = NULL; private array $error = ['type' => 1, 'message' => 'Maximum execution time of 30 seconds exceeded', 'file' => 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php', 'line' => 257] }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Bootstrap\HandleExceptions.php:198
[15-Oct-2025 18:39:57 UTC] PHP   5. Illuminate\Foundation\Exceptions\Handler->render($request = class Illuminate\Http\Request { public Symfony\Component\HttpFoundation\ParameterBag $attributes = class Symfony\Component\HttpFoundation\ParameterBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $request = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $query = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\ServerBag $server = class Symfony\Component\HttpFoundation\ServerBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\FileBag $files = class Symfony\Component\HttpFoundation\FileBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $cookies = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\HeaderBag $headers = class Symfony\Component\HttpFoundation\HeaderBag { protected array $headers = [...]; protected array $cacheControl = [...] }; protected $content = NULL; protected ?array $languages = NULL; protected ?array $charsets = NULL; protected ?array $encodings = NULL; protected ?array $acceptableContentTypes = [0 => 'text/html', 1 => 'application/xhtml+xml', 2 => 'application/xml', 3 => '*/*']; protected ?string $pathInfo = '/transacoes/4'; protected ?string $requestUri = '/transacoes/4'; protected ?string $baseUrl = ''; protected ?string $basePath = NULL; protected ?string $method = 'GET'; protected ?string $format = NULL; protected Symfony\Component\HttpFoundation\Session\SessionInterface|Closure|null $session = class Illuminate\Session\SymfonySessionDecorator { public readonly Illuminate\Contracts\Session\Session $store = class Illuminate\Session\Store { ... } }; protected ?string $locale = NULL; protected string $defaultLocale = 'en'; private ?string ${Symfony\Component\HttpFoundation\Request}preferredFormat = NULL; private bool ${Symfony\Component\HttpFoundation\Request}isHostValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isForwardedValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isSafeContentPreferred = *uninitialized*; private array ${Symfony\Component\HttpFoundation\Request}trustedValuesCache = []; private bool ${Symfony\Component\HttpFoundation\Request}isIisRewrite = FALSE; protected $json = NULL; protected $convertedFiles = NULL; protected $userResolver = class Closure { public $static = [...]; public $this = class Illuminate\Auth\AuthServiceProvider { ... }; public $parameter = [...] }; protected $routeResolver = class Closure { public $static = [...]; public $this = class Illuminate\Routing\Router { ... } } }, $e = class Symfony\Component\ErrorHandler\Error\FatalError { protected $message = 'Maximum execution time of 30 seconds exceeded'; private string ${Error}string = ''; protected $code = 0; protected string $file = 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php'; protected int $line = 257; private array ${Error}trace = [0 => [...], 1 => [...], 2 => [...], 3 => [...]]; private ?Throwable ${Error}previous = NULL; private array $error = ['type' => 1, 'message' => 'Maximum execution time of 30 seconds exceeded', 'file' => 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php', 'line' => 257] }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Bootstrap\HandleExceptions.php:221
[15-Oct-2025 18:39:57 UTC] PHP   6. Illuminate\Foundation\Exceptions\Handler->renderExceptionResponse($request = class Illuminate\Http\Request { public Symfony\Component\HttpFoundation\ParameterBag $attributes = class Symfony\Component\HttpFoundation\ParameterBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $request = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $query = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\ServerBag $server = class Symfony\Component\HttpFoundation\ServerBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\FileBag $files = class Symfony\Component\HttpFoundation\FileBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $cookies = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\HeaderBag $headers = class Symfony\Component\HttpFoundation\HeaderBag { protected array $headers = [...]; protected array $cacheControl = [...] }; protected $content = NULL; protected ?array $languages = NULL; protected ?array $charsets = NULL; protected ?array $encodings = NULL; protected ?array $acceptableContentTypes = [0 => 'text/html', 1 => 'application/xhtml+xml', 2 => 'application/xml', 3 => '*/*']; protected ?string $pathInfo = '/transacoes/4'; protected ?string $requestUri = '/transacoes/4'; protected ?string $baseUrl = ''; protected ?string $basePath = NULL; protected ?string $method = 'GET'; protected ?string $format = NULL; protected Symfony\Component\HttpFoundation\Session\SessionInterface|Closure|null $session = class Illuminate\Session\SymfonySessionDecorator { public readonly Illuminate\Contracts\Session\Session $store = class Illuminate\Session\Store { ... } }; protected ?string $locale = NULL; protected string $defaultLocale = 'en'; private ?string ${Symfony\Component\HttpFoundation\Request}preferredFormat = NULL; private bool ${Symfony\Component\HttpFoundation\Request}isHostValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isForwardedValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isSafeContentPreferred = *uninitialized*; private array ${Symfony\Component\HttpFoundation\Request}trustedValuesCache = []; private bool ${Symfony\Component\HttpFoundation\Request}isIisRewrite = FALSE; protected $json = NULL; protected $convertedFiles = NULL; protected $userResolver = class Closure { public $static = [...]; public $this = class Illuminate\Auth\AuthServiceProvider { ... }; public $parameter = [...] }; protected $routeResolver = class Closure { public $static = [...]; public $this = class Illuminate\Routing\Router { ... } } }, $e = class Symfony\Component\ErrorHandler\Error\FatalError { protected $message = 'Maximum execution time of 30 seconds exceeded'; private string ${Error}string = ''; protected $code = 0; protected string $file = 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php'; protected int $line = 257; private array ${Error}trace = [0 => [...], 1 => [...], 2 => [...], 3 => [...]]; private ?Throwable ${Error}previous = NULL; private array $error = ['type' => 1, 'message' => 'Maximum execution time of 30 seconds exceeded', 'file' => 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php', 'line' => 257] }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Exceptions\Handler.php:594
[15-Oct-2025 18:39:57 UTC] PHP   7. Illuminate\Foundation\Exceptions\Handler->prepareResponse($request = class Illuminate\Http\Request { public Symfony\Component\HttpFoundation\ParameterBag $attributes = class Symfony\Component\HttpFoundation\ParameterBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $request = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $query = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\ServerBag $server = class Symfony\Component\HttpFoundation\ServerBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\FileBag $files = class Symfony\Component\HttpFoundation\FileBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $cookies = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\HeaderBag $headers = class Symfony\Component\HttpFoundation\HeaderBag { protected array $headers = [...]; protected array $cacheControl = [...] }; protected $content = NULL; protected ?array $languages = NULL; protected ?array $charsets = NULL; protected ?array $encodings = NULL; protected ?array $acceptableContentTypes = [0 => 'text/html', 1 => 'application/xhtml+xml', 2 => 'application/xml', 3 => '*/*']; protected ?string $pathInfo = '/transacoes/4'; protected ?string $requestUri = '/transacoes/4'; protected ?string $baseUrl = ''; protected ?string $basePath = NULL; protected ?string $method = 'GET'; protected ?string $format = NULL; protected Symfony\Component\HttpFoundation\Session\SessionInterface|Closure|null $session = class Illuminate\Session\SymfonySessionDecorator { public readonly Illuminate\Contracts\Session\Session $store = class Illuminate\Session\Store { ... } }; protected ?string $locale = NULL; protected string $defaultLocale = 'en'; private ?string ${Symfony\Component\HttpFoundation\Request}preferredFormat = NULL; private bool ${Symfony\Component\HttpFoundation\Request}isHostValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isForwardedValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isSafeContentPreferred = *uninitialized*; private array ${Symfony\Component\HttpFoundation\Request}trustedValuesCache = []; private bool ${Symfony\Component\HttpFoundation\Request}isIisRewrite = FALSE; protected $json = NULL; protected $convertedFiles = NULL; protected $userResolver = class Closure { public $static = [...]; public $this = class Illuminate\Auth\AuthServiceProvider { ... }; public $parameter = [...] }; protected $routeResolver = class Closure { public $static = [...]; public $this = class Illuminate\Routing\Router { ... } } }, $e = class Symfony\Component\ErrorHandler\Error\FatalError { protected $message = 'Maximum execution time of 30 seconds exceeded'; private string ${Error}string = ''; protected $code = 0; protected string $file = 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php'; protected int $line = 257; private array ${Error}trace = [0 => [...], 1 => [...], 2 => [...], 3 => [...]]; private ?Throwable ${Error}previous = NULL; private array $error = ['type' => 1, 'message' => 'Maximum execution time of 30 seconds exceeded', 'file' => 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php', 'line' => 257] }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Exceptions\Handler.php:706
[15-Oct-2025 18:39:57 UTC] PHP   8. Illuminate\Foundation\Exceptions\Handler->convertExceptionToResponse($e = class Symfony\Component\ErrorHandler\Error\FatalError { protected $message = 'Maximum execution time of 30 seconds exceeded'; private string ${Error}string = ''; protected $code = 0; protected string $file = 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php'; protected int $line = 257; private array ${Error}trace = [0 => [...], 1 => [...], 2 => [...], 3 => [...]]; private ?Throwable ${Error}previous = NULL; private array $error = ['type' => 1, 'message' => 'Maximum execution time of 30 seconds exceeded', 'file' => 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php', 'line' => 257] }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Exceptions\Handler.php:807
[15-Oct-2025 18:39:57 UTC] PHP   9. Illuminate\Foundation\Exceptions\Handler->renderExceptionContent($e = class Symfony\Component\ErrorHandler\Error\FatalError { protected $message = 'Maximum execution time of 30 seconds exceeded'; private string ${Error}string = ''; protected $code = 0; protected string $file = 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php'; protected int $line = 257; private array ${Error}trace = [0 => [...], 1 => [...], 2 => [...], 3 => [...]]; private ?Throwable ${Error}previous = NULL; private array $error = ['type' => 1, 'message' => 'Maximum execution time of 30 seconds exceeded', 'file' => 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php', 'line' => 257] }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Exceptions\Handler.php:828
[15-Oct-2025 18:39:57 UTC] PHP  10. Illuminate\Foundation\Exceptions\Renderer\Renderer->render($request = class Illuminate\Http\Request { public Symfony\Component\HttpFoundation\ParameterBag $attributes = class Symfony\Component\HttpFoundation\ParameterBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $request = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $query = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\ServerBag $server = class Symfony\Component\HttpFoundation\ServerBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\FileBag $files = class Symfony\Component\HttpFoundation\FileBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\InputBag $cookies = class Symfony\Component\HttpFoundation\InputBag { protected array $parameters = [...] }; public Symfony\Component\HttpFoundation\HeaderBag $headers = class Symfony\Component\HttpFoundation\HeaderBag { protected array $headers = [...]; protected array $cacheControl = [...] }; protected $content = NULL; protected ?array $languages = NULL; protected ?array $charsets = NULL; protected ?array $encodings = NULL; protected ?array $acceptableContentTypes = [0 => 'text/html', 1 => 'application/xhtml+xml', 2 => 'application/xml', 3 => '*/*']; protected ?string $pathInfo = '/transacoes/4'; protected ?string $requestUri = '/transacoes/4'; protected ?string $baseUrl = ''; protected ?string $basePath = NULL; protected ?string $method = 'GET'; protected ?string $format = NULL; protected Symfony\Component\HttpFoundation\Session\SessionInterface|Closure|null $session = class Illuminate\Session\SymfonySessionDecorator { public readonly Illuminate\Contracts\Session\Session $store = class Illuminate\Session\Store { ... } }; protected ?string $locale = NULL; protected string $defaultLocale = 'en'; private ?string ${Symfony\Component\HttpFoundation\Request}preferredFormat = NULL; private bool ${Symfony\Component\HttpFoundation\Request}isHostValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isForwardedValid = TRUE; private bool ${Symfony\Component\HttpFoundation\Request}isSafeContentPreferred = *uninitialized*; private array ${Symfony\Component\HttpFoundation\Request}trustedValuesCache = []; private bool ${Symfony\Component\HttpFoundation\Request}isIisRewrite = FALSE; protected $json = NULL; protected $convertedFiles = NULL; protected $userResolver = class Closure { public $static = [...]; public $this = class Illuminate\Auth\AuthServiceProvider { ... }; public $parameter = [...] }; protected $routeResolver = class Closure { public $static = [...]; public $this = class Illuminate\Routing\Router { ... } } }, $throwable = class Symfony\Component\ErrorHandler\Error\FatalError { protected $message = 'Maximum execution time of 30 seconds exceeded'; private string ${Error}string = ''; protected $code = 0; protected string $file = 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php'; protected int $line = 257; private array ${Error}trace = [0 => [...], 1 => [...], 2 => [...], 3 => [...]]; private ?Throwable ${Error}previous = NULL; private array $error = ['type' => 1, 'message' => 'Maximum execution time of 30 seconds exceeded', 'file' => 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Bootstrap\\HandleExceptions.php', 'line' => 257] }) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Exceptions\Handler.php:847
[15-Oct-2025 18:39:57 UTC] PHP  11. Illuminate\View\View->render($callback = *uninitialized*) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\Foundation\Exceptions\Renderer\Renderer.php:95
[15-Oct-2025 18:39:57 UTC] PHP  12. Illuminate\View\View->renderContents() C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\View\View.php:161
[15-Oct-2025 18:39:57 UTC] PHP  13. Illuminate\View\View->getContents() C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\View\View.php:192
[15-Oct-2025 18:39:57 UTC] PHP  14. Illuminate\View\Engines\CompilerEngine->get($path = 'C:\\Users\\faria\\projeto-final\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Providers/../resources/exceptions/renderer/show.blade.php', $data = ['__env' => class Illuminate\View\Factory { protected $engines = class Illuminate\View\Engines\EngineResolver { ... }; protected $finder = class Illuminate\View\FileViewFinder { ... }; protected $events = class Illuminate\Events\Dispatcher { ... }; protected $container = class Illuminate\Foundation\Application { ... }; protected $shared = [...]; protected $extensions = [...]; protected $composers = [...]; protected $renderCount = 3; protected $renderedOnce = [...]; protected $pathEngineCache = [...]; protected $normalizedNameCache = [...]; protected $componentStack = [...]; protected $componentData = [...]; protected $currentComponentData = [...]; protected $slots = [...]; protected $slotStack = [...]; protected $fragments = [...]; protected $fragmentStack = [...]; protected $sections = [...]; protected $sectionStack = [...]; protected $loopsStack = [...]; protected $pushes = [...]; protected $prepends = [...]; protected $pushStack = [...]; protected $translationReplacements = [...] }, 'app' => class Illuminate\Foundation\Application { protected $resolved = [...]; protected $bindings = [...]; protected $methodBindings = [...]; protected $instances = [...]; protected $scopedInstances = [...]; protected $aliases = [...]; protected $abstractAliases = [...]; protected $extenders = [...]; protected $tags = [...]; protected $buildStack = [...]; protected $with = [...]; public $contextual = [...]; public $contextualAttributes = [...]; protected $reboundCallbacks = [...]; protected $globalBeforeResolvingCallbacks = [...]; protected $globalResolvingCallbacks = [...]; protected $globalAfterResolvingCallbacks = [...]; protected $beforeResolvingCallbacks = [...]; protected $resolvingCallbacks = [...]; protected $afterResolvingCallbacks = [...]; protected $afterResolvingAttributeCallbacks = [...]; protected $basePath = 'C:\\Users\\faria\\projeto-final'; protected $registeredCallbacks = [...]; protected $hasBeenBootstrapped = TRUE; protected $booted = TRUE; protected $bootingCallbacks = [...]; protected $bootedCallbacks = [...]; protected $terminatingCallbacks = [...]; protected $serviceProviders = [...]; protected $loadedProviders = [...]; protected $deferredServices = [...]; protected $bootstrapPath = 'C:\\Users\\faria\\projeto-final\\bootstrap'; protected $appPath = NULL; protected $configPath = NULL; protected $databasePath = NULL; protected $langPath = 'C:\\Users\\faria\\projeto-final\\lang'; protected $publicPath = NULL; protected $storagePath = NULL; protected $environmentPath = NULL; protected $environmentFile = '.env'; protected $isRunningInConsole = FALSE; protected $namespace = NULL; protected $mergeFrameworkConfiguration = TRUE; protected $absoluteCachePathPrefixes = [...] }, 'errors' => class Illuminate\Support\ViewErrorBag { protected $bags = [...] }, 'exception' => class Illuminate\Foundation\Exceptions\Renderer\Exception { protected $exception = class Symfony\Component\ErrorHandler\Exception\FlattenException { ... }; protected $request = class Illuminate\Http\Request { ... }; protected $listener = class Illuminate\Foundation\Exceptions\Renderer\Listener { ... }; protected $basePath = 'C:\\Users\\faria\\projeto-final' }]) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\View\View.php:209
[15-Oct-2025 18:39:57 UTC] PHP  15. Illuminate\View\Engines\PhpEngine->evaluatePath($path = 'C:\\Users\\faria\\projeto-final\\storage\\framework\\views/54416ce1360f7f1c9cbd9bd99548fd2b.php', $data = ['__env' => class Illuminate\View\Factory { protected $engines = class Illuminate\View\Engines\EngineResolver { ... }; protected $finder = class Illuminate\View\FileViewFinder { ... }; protected $events = class Illuminate\Events\Dispatcher { ... }; protected $container = class Illuminate\Foundation\Application { ... }; protected $shared = [...]; protected $extensions = [...]; protected $composers = [...]; protected $renderCount = 3; protected $renderedOnce = [...]; protected $pathEngineCache = [...]; protected $normalizedNameCache = [...]; protected $componentStack = [...]; protected $componentData = [...]; protected $currentComponentData = [...]; protected $slots = [...]; protected $slotStack = [...]; protected $fragments = [...]; protected $fragmentStack = [...]; protected $sections = [...]; protected $sectionStack = [...]; protected $loopsStack = [...]; protected $pushes = [...]; protected $prepends = [...]; protected $pushStack = [...]; protected $translationReplacements = [...] }, 'app' => class Illuminate\Foundation\Application { protected $resolved = [...]; protected $bindings = [...]; protected $methodBindings = [...]; protected $instances = [...]; protected $scopedInstances = [...]; protected $aliases = [...]; protected $abstractAliases = [...]; protected $extenders = [...]; protected $tags = [...]; protected $buildStack = [...]; protected $with = [...]; public $contextual = [...]; public $contextualAttributes = [...]; protected $reboundCallbacks = [...]; protected $globalBeforeResolvingCallbacks = [...]; protected $globalResolvingCallbacks = [...]; protected $globalAfterResolvingCallbacks = [...]; protected $beforeResolvingCallbacks = [...]; protected $resolvingCallbacks = [...]; protected $afterResolvingCallbacks = [...]; protected $afterResolvingAttributeCallbacks = [...]; protected $basePath = 'C:\\Users\\faria\\projeto-final'; protected $registeredCallbacks = [...]; protected $hasBeenBootstrapped = TRUE; protected $booted = TRUE; protected $bootingCallbacks = [...]; protected $bootedCallbacks = [...]; protected $terminatingCallbacks = [...]; protected $serviceProviders = [...]; protected $loadedProviders = [...]; protected $deferredServices = [...]; protected $bootstrapPath = 'C:\\Users\\faria\\projeto-final\\bootstrap'; protected $appPath = NULL; protected $configPath = NULL; protected $databasePath = NULL; protected $langPath = 'C:\\Users\\faria\\projeto-final\\lang'; protected $publicPath = NULL; protected $storagePath = NULL; protected $environmentPath = NULL; protected $environmentFile = '.env'; protected $isRunningInConsole = FALSE; protected $namespace = NULL; protected $mergeFrameworkConfiguration = TRUE; protected $absoluteCachePathPrefixes = [...] }, 'errors' => class Illuminate\Support\ViewErrorBag { protected $bags = [...] }, 'exception' => class Illuminate\Foundation\Exceptions\Renderer\Exception { protected $exception = class Symfony\Component\ErrorHandler\Exception\FlattenException { ... }; protected $request = class Illuminate\Http\Request { ... }; protected $listener = class Illuminate\Foundation\Exceptions\Renderer\Listener { ... }; protected $basePath = 'C:\\Users\\faria\\projeto-final' }]) C:\Users\faria\projeto-final\vendor\laravel\framework\src\Illuminate\View\Engines\CompilerEngine.php:75
